Title:,"Annual average concentrations of selected determinands of river water quality, by river location: ",,,,,,,,,,,,,,,,
Year:,1980-2011,,,,,,,,,,,,,,,,
Geography:,Great Britain,,,,,,,,,,,,,,,,
Units:,temperature/ pH/ Conductivity/ Suspended Solids/ Dissolved Oxygen/ Biological Oxygen Demand/ Ammonical Nitrogen / Nitrite / Nitrate/ Cloride /Total Alkalinity/ Orthophosphate / Anionic Detergent/ Ash/  Cholophyll,,,,,,,,,,,,,,,,
Source:,"EA (Environment Agency), SEPA (Scottish Environment Protection Agency)  - The Harmonised Monitoring Scheme",,,,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,
Release Date:,Nov-12,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Annual  average concentrations of selected determinands of river quality, by river location",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region,River,Year,Temp,pH,Cond,SS,Ash,DO,BOD,Amm,Nitrite,Nitrate,Chloride,Alkaline,Chloroph,Orthop,AnDet
North West,MERSEY - ABOVE HOWLEY WEIR             ,1980,11.42173913,7.247916667,738.125,23.72916667,16.23404255,6.139583333,5.076595745,4.52125,0.235625,10.12943354,90.08695652,110.2553191,,0.782978723,0.247027027
North West,MERSEY - ABOVE HOWLEY WEIR             ,1981,12.07777778,7.226086957,625.1956522,26.93478261,18.17391304,6.246511628,5.023913043,3.908695652,0.192173913,9.610961803,79.5,109.8695652,,0.904347826,0.246129032
North West,MERSEY - ABOVE HOWLEY WEIR             ,1982,12.8,7.248979592,657.755102,22.02040816,13.59183673,5.993181818,5.573469388,4.691836735,0.285714286,10.03478037,84.26530612,119.7346939,,1.125510204,0.295588235
North West,MERSEY - ABOVE HOWLEY WEIR             ,1983,12.21875,7.22,611.96,20.32,11.54,6.091666667,6.178,4.079,0.1994,9.705213347,82.3,115.7959184,,1.120833333,0.366764706
North West,MERSEY - ABOVE HOWLEY WEIR             ,1984,12.1,7.402173913,716.7608696,22.31914894,13.42553191,5.564444444,6.495555556,5.31787234,0.217659574,9.664178396,107.0212766,130.2173913,,1.940425532,0.348571429
North West,MERSEY - ABOVE HOWLEY WEIR             ,1985,12.41,7.38,662.86,15.04,7.76,6.235416667,5.02,4.554,0.2774,13.80208438,94.2,116.6,,1.361702128,0.360465116
North West,MERSEY - ABOVE HOWLEY WEIR             ,1986,10.48,7.375,641.0769231,23.96153846,14.40384615,6.7536,5.523076923,4.692307692,0.273846154,14.20549313,92.28,108.254902,,1.394230769,0.311904762
North West,MERSEY - ABOVE HOWLEY WEIR             ,1987,10.94927536,7.498550725,600.1594203,23.35507246,16.60869565,7.317692308,4.748529412,4.035507246,0.24826087,12.96159295,78.57352941,114.8088235,,1.058823529,0.244375
